continent,location,new_deaths
Africa,Algeria,6853
Africa,Angola,1903
Africa,Benin,163
Africa,Botswana,2619
Africa,Burkina Faso,375
Africa,Burundi,38
Africa,Cameroon,1926
Africa,Cape Verde,402
Africa,Central African Republic,113
Africa,Chad,190
Africa,Comoros,161
Africa,Congo,409
Africa,Cote d'Ivoire,795
Africa,Democratic Republic of Congo,1335
Africa,Djibouti,189
Africa,Egypt,24172
Africa,Equatorial Guinea,183
Africa,Eritrea,103
Africa,Eswatini,1391
Africa,Ethiopia,7476
Africa,Gabon,303
Africa,Gambia,365
Africa,Ghana,1442
Africa,Guinea,440
Africa,Guinea-Bissau,167
Africa,Kenya,5640
Africa,Lesotho,697
Africa,Liberia,294
Africa,Libya,6291
Africa,Madagascar,1373
Africa,Malawi,2618
Africa,Mali,724
Africa,Mauritania,980
Africa,Mauritius,786
Africa,Morocco,16015
Africa,Mozambique,2230
Africa,Namibia,4014
Africa,Niger,307
Africa,Nigeria,3143
Africa,Rwanda,1458
Africa,Saint Helena,0
Africa,Sao Tome and Principe,76
Africa,Senegal,1961
Africa,Seychelles,163
Africa,Sierra Leone,125
Africa,Somalia,1349
Africa,South Africa,99220
Africa,South Sudan,137
Africa,Sudan,3912
Africa,Tanzania,798
Africa,Togo,272
Africa,Tunisia,27922
Africa,Uganda,3596
Africa,Zambia,3958
Africa,Zimbabwe,5397
Asia,Afghanistan,7622
Asia,Armenia,8530
Asia,Azerbaijan,9500
Asia,Bahrain,1514
Asia,Bangladesh,29077
Asia,Bhutan,7
Asia,Brunei,140
Asia,Cambodia,3040
Asia,China,4640
Asia,Georgia,16338
Asia,Hong Kong,1774
Asia,India,507663
Asia,Indonesia,149918
Asia,Iran,137747
Asia,Iraq,25041
Asia,Israel,10282
Asia,Japan,24816
Asia,Jordan,13849
Asia,Kazakhstan,19248
Asia,Kuwait,2544
Asia,Kyrgyzstan,3406
Asia,Laos,628
Asia,Lebanon,10142
Asia,Macao,0
Asia,Malaysia,33173
Asia,Maldives,297
Asia,Mongolia,2174
Asia,Myanmar,19387
Asia,Nepal,11945
Asia,Northern Cyprus,0
Asia,Oman,4248
Asia,Pakistan,30265
Asia,Palestine,5557
Asia,Philippines,56881
Asia,Qatar,670
Asia,Saudi Arabia,9006
Asia,Singapore,1073
Asia,South Korea,8957
Asia,Sri Lanka,16321
Asia,Syria,3092
Asia,Taiwan,853
Asia,Tajikistan,125
Asia,Thailand,23237
Asia,Timor,129
Asia,Turkey,95379
Asia,Turkmenistan,0
Asia,United Arab Emirates,2301
Asia,Uzbekistan,1637
Asia,Vietnam,40911
Asia,Yemen,2135
Europe,Albania,3478
Europe,Andorra,151
Europe,Austria,15000
Europe,Belarus,6550
Europe,Belgium,30376
Europe,Bosnia and Herzegovina,15541
Europe,Bulgaria,35811
Europe,Croatia,15194
Europe,Cyprus,875
Europe,Czechia,38922
Europe,Denmark,4776
Europe,Estonia,2299
Europe,Faeroe Islands,28
Europe,Finland,2387
Europe,France,139018
Europe,Germany,124227
Europe,Gibraltar,101
Europe,Greece,26143
Europe,Guernsey,0
Europe,Hungary,44286
Europe,Iceland,69
Europe,Ireland,6550
Europe,Isle of Man,80
Europe,Italy,155813
Europe,Jersey,0
Europe,Kosovo,3117
Europe,Latvia,5348
Europe,Liechtenstein,78
Europe,Lithuania,8530
Europe,Luxembourg,998
Europe,Malta,610
Europe,Moldova,10700
Europe,Monaco,54
Europe,Montenegro,2686
Europe,Netherlands,21737
Europe,North Macedonia,9075
Europe,Norway,1666
Europe,Poland,112535
Europe,Portugal,21182
Europe,Romania,63931
Europe,Russia,348467
Europe,San Marino,112
Europe,Serbia,15408
Europe,Slovakia,18663
Europe,Slovenia,6351
Europe,Spain,101154
Europe,Sweden,17768
Europe,Switzerland,13324
Europe,Ukraine,112459
Europe,United Kingdom,161031
Europe,Vatican,0
North America,Anguilla,10
North America,Antigua and Barbuda,135
North America,Aruba,213
North America,Bahamas,771
North America,Barbados,319
North America,Belize,655
North America,Bermuda,123
North America,Bonaire Sint Eustatius and Saba,33
North America,British Virgin Islands,62
North America,Canada,36998
North America,Cayman Islands,17
North America,Costa Rica,8082
North America,Cuba,8500
North America,Curacao,264
North America,Dominica,61
North America,Dominican Republic,4371
North America,El Salvador,4086
North America,Greenland,21
North America,Grenada,216
North America,Guatemala,17076
North America,Haiti,900
North America,Honduras,10786
North America,Jamaica,2825
North America,Mexico,312543
North America,Montserrat,2
North America,Nicaragua,225
North America,Panama,8111
North America,Saint Kitts and Nevis,42
North America,Saint Lucia,360
North America,Saint Pierre and Miquelon,1
North America,Saint Vincent and the Grenadines,106
North America,Sint Maarten (Dutch part),0
North America,Trinidad and Tobago,3652
North America,Turks and Caicos Islands,36
North America,United States,958437
Oceania,Australia,5419
Oceania,Cook Islands,0
Oceania,Fiji,836
Oceania,French Polynesia,642
Oceania,Kiribati,11
Oceania,Marshall Islands,0
Oceania,Micronesia (country),0
Oceania,Nauru,0
Oceania,New Caledonia,302
Oceania,New Zealand,65
Oceania,Niue,0
Oceania,Palau,6
Oceania,Papua New Guinea,638
Oceania,Pitcairn,0
Oceania,Samoa,0
Oceania,Solomon Islands,115
Oceania,Tokelau,0
Oceania,Tonga,0
Oceania,Tuvalu,0
Oceania,Vanuatu,1
Oceania,Wallis and Futuna,7
South America,Argentina,126708
South America,Bolivia,21455
South America,Brazil,652216
South America,Chile,43168
South America,Colombia,139037
South America,Ecuador,22626
South America,Falkland Islands,0
South America,Guyana,1223
South America,Paraguay,18460
South America,Peru,211616
South America,Suriname,1318
South America,Uruguay,7040
South America,Venezuela,5653
