continent,location,total_deaths
Africa,Algeria,2363443
Africa,Angola,525494
Africa,Benin,58766
Africa,Botswana,655308
Africa,Burkina Faso,103314
Africa,Burundi,9609
Africa,Cameroon,642041
Africa,Cape Verde,131644
Africa,Central African Republic,50961
Africa,Chad,91303
Africa,Comoros,61629
Africa,Congo,109281
Africa,Cote d'Ivoire,217153
Africa,Democratic Republic of Congo,471579
Africa,Djibouti,74185
Africa,Egypt,8126789
Africa,Equatorial Guinea,72335
Africa,Eritrea,16149
Africa,Eswatini,417826
Africa,Ethiopia,2249461
Africa,Gabon,89479
Africa,Gambia,123143
Africa,Ghana,457497
Africa,Guinea,123057
Africa,Guinea-Bissau,50224
Africa,Kenya,1834831
Africa,Lesotho,194520
Africa,Liberia,96056
Africa,Libya,1798332
Africa,Madagascar,385528
Africa,Malawi,748757
Africa,Mali,254932
Africa,Mauritania,308947
Africa,Mauritius,93749
Africa,Morocco,5507311
Africa,Mozambique,592439
Africa,Namibia,979108
Africa,Niger,108126
Africa,Nigeria,1239927
Africa,Rwanda,355689
Africa,Saint Helena,0
Africa,Sao Tome and Principe,21894
Africa,Senegal,663917
Africa,Seychelles,33139
Africa,Sierra Leone,59946
Africa,Somalia,395536
Africa,South Africa,33478334
Africa,South Sudan,60236
Africa,Sudan,1351109
Africa,Tanzania,128989
Africa,Togo,82475
Africa,Tunisia,7905987
Africa,Uganda,854749
Africa,Zambia,1152273
Africa,Zimbabwe,1405534
Asia,Afghanistan,2552442
Asia,Armenia,2507918
Asia,Azerbaijan,2618743
Asia,Bahrain,509203
Asia,Bangladesh,9286212
Asia,Bhutan,938
Asia,Brunei,16825
Asia,Cambodia,617211
Asia,China,3387966
Asia,Georgia,3410096
Asia,Hong Kong,113016
Asia,India,170466513
Asia,Indonesia,42066692
Asia,Iran,47874324
Asia,Iraq,9807499
Asia,Israel,3337689
Asia,Japan,6456207
Asia,Jordan,4256482
Asia,Kazakhstan,5129312
Asia,Kuwait,978897
Asia,Kyrgyzstan,1143651
Asia,Laos,48372
Asia,Lebanon,3261738
Asia,Macao,0
Asia,Malaysia,6392803
Asia,Maldives,83769
Asia,Mongolia,405211
Asia,Myanmar,4760539
Asia,Nepal,3597703
Asia,Northern Cyprus,0
Asia,Oman,1515681
Asia,Pakistan,11026701
Asia,Palestine,1657093
Asia,Philippines,14325114
Asia,Qatar,261754
Asia,Saudi Arabia,4255032
Asia,Singapore,123434
Asia,South Korea,1376753
Asia,Sri Lanka,3114636
Asia,Syria,898392
Asia,Taiwan,223377
Asia,Tajikistan,62966
Asia,Thailand,4129663
Asia,Timor,24870
Asia,Turkey,25882604
Asia,Turkmenistan,0
Asia,United Arab Emirates,866645
Asia,Uzbekistan,508572
Asia,Vietnam,5337545
Asia,Yemen,720863
Europe,Albania,1174101
Europe,Andorra,69474
Europe,Austria,5035301
Europe,Belarus,1754296
Europe,Belgium,13749387
Europe,Bosnia and Herzegovina,4441185
Europe,Bulgaria,9045796
Europe,Croatia,3899541
Europe,Cyprus,201140
Europe,Czechia,13125258
Europe,Denmark,1342644
Europe,Estonia,579069
Europe,Faeroe Islands,2333
Europe,Finland,597547
Europe,France,56038560
Europe,Germany,41494701
Europe,Gibraltar,39545
Europe,Greece,6116351
Europe,Guernsey,0
Europe,Hungary,12755030
Europe,Iceland,18160
Europe,Ireland,2616899
Europe,Isle of Man,24672
Europe,Italy,63577567
Europe,Jersey,0
Europe,Kosovo,1151385
Europe,Latvia,1243952
